Load_Port,Item_Class,ETD_Yr,ETD_Day,ETD_Mth,ETA_Yr,ETD_Day_1,ETD_Mth_1,Sum_Shipped_Msr,Load_port_1,HK_Prev_diff_ETD,HK_Prev_diff_ETA,HK_Next_diff_ETD,HK_Next_diff_ETA,UK_Prev_diff_ETD,UK_Prev_diff_ETA,UK_Next_diff_ETD,UK_Next_diff_ETA,prev_Shipped_Msr,prev_ETD_Dte_diff,Transport_Days
BANGLADESH - CHITTAGONG,B-Jeans,2016,6,6,2016,6,6,27.96,BANGLADESH - CHITTAGONG,-23,-40,3,8,-7,-24,84,67,14.82,12,17
BANGLADESH - CHITTAGONG,B-Jeans,2016,6,9,2016,6,9,15.72,BANGLADESH - CHITTAGONG,0,-28,22,71,-10,-38,81,53,27.96,3,28
BANGLADESH - CHITTAGONG,B-Jeans,2016,7,5,2016,7,5,40.5,BANGLADESH - CHITTAGONG,-4,-25,73,52,-36,-57,55,34,15.72,26,21
BANGLADESH - CHITTAGONG,B-Jeans,2016,9,18,2016,9,18,19.52,BANGLADESH - CHITTAGONG,-2,-32,13,68,-20,-50,98,68,40.5,75,30
BANGLADESH - CHITTAGONG,C-Trousers,2017,1,2,2017,1,2,17.52,BANGLADESH - CHITTAGONG,0,-23,26,3,0,-23,102,79,20.91,14,23
BANGLADESH - CHITTAGONG,C-Trousers,2017,1,20,2017,1,20,13.61,BANGLADESH - CHITTAGONG,-18,-45,8,47,-18,-45,84,57,17.52,18,27
BANGLADESH - CHITTAGONG,C-Trousers,2017,1,26,2017,1,26,27.79,BANGLADESH - CHITTAGONG,-24,-62,2,30,-24,-62,78,40,13.61,6,38
BANGLADESH - CHITTAGONG,C-Trousers,2017,1,28,2017,1,28,12.15,BANGLADESH - CHITTAGONG,0,-33,1,33,-26,-59,76,43,27.79,2,33
BANGLADESH - CHITTAGONG,C-Trousers,2017,2,6,2017,2,6,1413.01,BANGLADESH - CHITTAGONG,-6,-32,57,31,-35,-61,67,41,12.15,9,26
BANGLADESH - CHITTAGONG,C-Trousers,2017,2,11,2017,2,11,22.28,BANGLADESH - CHITTAGONG,-11,-38,52,25,-40,-67,62,35,1413.01,5,27
BANGLADESH - CHITTAGONG,C-Trousers,2017,2,26,2017,2,26,11.01,BANGLADESH - CHITTAGONG,-26,-56,37,7,-55,-85,47,17,22.28,15,30
BANGLADESH - CHITTAGONG,C-Trousers,2017,3,3,2017,3,3,17,BANGLADESH - CHITTAGONG,-31,-63,32,10,-60,-92,42,10,11.01,5,32
BANGLADESH - CHITTAGONG,C-Trousers,2017,3,14,2017,3,14,6.65,BANGLADESH - CHITTAGONG,-42,-66,21,7,-71,-95,31,7,17,11,24
BANGLADESH - CHITTAGONG,C-Trousers,2016,3,26,2016,3,26,8.01,BANGLADESH - CHITTAGONG,0,-26,2,10,-1,-24,1,11,8.55,13,26
BANGLADESH - CHITTAGONG,C-Trousers,2016,3,28,2016,3,28,35.91,BANGLADESH - CHITTAGONG,0,-24,7,10,0,-24,35,11,8.01,2,24
BANGLADESH - CHITTAGONG,C-Trousers,2016,4,6,2016,4,6,11.22,BANGLADESH - CHITTAGONG,-2,-29,25,11,-9,-1,26,27,35.91,9,27
BANGLADESH - CHITTAGONG,C-Trousers,2016,4,8,2016,4,8,69.19,BANGLADESH - CHITTAGONG,-4,-37,23,3,-11,-9,24,19,11.22,2,33
BANGLADESH - CHITTAGONG,C-Trousers,2016,4,27,2016,4,27,56.79,BANGLADESH - CHITTAGONG,-23,-52,4,14,-30,-24,5,4,69.19,19,29
BANGLADESH - CHITTAGONG,C-Trousers,2016,4,29,2016,4,29,7.63,BANGLADESH - CHITTAGONG,-25,-52,2,14,-32,-24,3,4,56.79,2,27
BANGLADESH - CHITTAGONG,C-Trousers,2016,5,25,2016,5,25,21.36,BANGLADESH - CHITTAGONG,-11,-31,15,17,-23,-15,5,76,7.63,26,20
BANGLADESH - CHITTAGONG,C-Trousers,2016,6,9,2016,6,9,22.81,BANGLADESH - CHITTAGONG,0,-28,22,71,-10,-38,81,53,21.36,15,28
BANGLADESH - CHITTAGONG,C-Trousers,2016,7,5,2016,7,5,86.22,BANGLADESH - CHITTAGONG,-4,-25,73,52,-36,-57,55,34,22.81,26,21
BANGLADESH - CHITTAGONG,C-Trousers,2016,7,30,2016,7,30,34.84,BANGLADESH - CHITTAGONG,-29,-61,48,16,-61,-2,30,116,86.22,25,32
BANGLADESH - CHITTAGONG,C-Trousers,2016,8,13,2016,8,13,16.46,BANGLADESH - CHITTAGONG,-43,-73,34,4,-75,-14,16,104,34.84,14,30
BANGLADESH - CHITTAGONG,C-Trousers,2016,8,24,2016,8,24,17.47,BANGLADESH - CHITTAGONG,-54,-80,23,12,-86,-21,5,97,16.46,11,26
BANGLADESH - CHITTAGONG,C-Trousers,2016,9,9,2016,9,9,44.33,BANGLADESH - CHITTAGONG,-70,-101,7,76,-11,-42,107,76,17.47,16,31
BANGLADESH - CHITTAGONG,C-Trousers,2016,12,19,2017,12,19,20.91,BANGLADESH - CHITTAGONG,-70,-94,6,16,-112,-10,6,92,44.33,101,24
BANGLADESH - CHITTAGONG,D-Jackets,2017,1,3,2017,1,3,16.48,BANGLADESH - CHITTAGONG,-1,-28,25,1,-1,-28,101,74,10.62,7,27
BANGLADESH - CHITTAGONG,D-Jackets,2017,1,17,2017,1,17,32.73,BANGLADESH - CHITTAGONG,-15,-38,11,54,-15,-38,87,64,16.48,14,23
BANGLADESH - CHITTAGONG,D-Jackets,2017,1,26,2017,1,26,4.75,BANGLADESH - CHITTAGONG,-24,-62,2,30,-24,-62,78,40,32.73,9,38
BANGLADESH - CHITTAGONG,D-Jackets,2017,2,6,2017,2,6,9,BANGLADESH - CHITTAGONG,-6,-32,57,31,-35,-61,67,41,4.75,11,26
BANGLADESH - CHITTAGONG,D-Jackets,2017,2,11,2017,2,11,9.29,BANGLADESH - CHITTAGONG,-11,-38,52,25,-40,-67,62,35,9,5,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2017,1,5,2017,1,5,22.2,BANGLADESH - CHITTAGONG,-3,-28,23,1,-3,-28,99,74,16.2,9,25
BANGLADESH - CHITTAGONG,F-Sweatshirts,2017,2,11,2017,2,11,8.4,BANGLADESH - CHITTAGONG,-11,-38,52,25,-40,-67,62,35,22.2,37,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,6,23,2016,6,23,10.2,BANGLADESH - CHITTAGONG,-14,-40,8,59,-24,-50,67,41,20.77,64,26
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,7,5,2016,7,5,55.68,BANGLADESH - CHITTAGONG,-4,-25,73,52,-36,-57,55,34,10.2,12,21
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,8,19,2016,8,19,9.38,BANGLADESH - CHITTAGONG,-49,-80,28,12,-81,-21,10,97,55.68,45,31
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,8,24,2016,8,24,18.76,BANGLADESH - CHITTAGONG,-54,-80,23,12,-86,-21,5,97,9.38,5,26
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,12,27,2017,12,27,16.2,BANGLADESH - CHITTAGONG,0,-27,5,5,0,-21,5,81,18.76,125,27
BANGLADESH - CHITTAGONG,I-Knitwear,2017,1,9,2017,1,9,39.25,BANGLADESH - CHITTAGONG,-7,-33,19,59,-7,-33,95,69,23.17,10,26
BANGLADESH - CHITTAGONG,I-Knitwear,2017,1,17,2017,1,17,28.14,BANGLADESH - CHITTAGONG,-15,-38,11,54,-15,-38,87,64,39.25,8,23
BANGLADESH - CHITTAGONG,I-Knitwear,2017,1,20,2017,1,20,6.25,BANGLADESH - CHITTAGONG,-18,-45,8,47,-18,-45,84,57,28.14,3,27
